Type,ID,Name,Description,MaxLevel,Cost1,Cost2,Cost3,Cost4,Cost5,Value1,Value2,Value3,Value4,Value5,GridX,GridY,ConnectID,ConnectM
104,122,GameMonsterLevel,Increase Monster Level by {0},1,1000000,0,0,0,0,1,0,0,0,0,30,0,117,1
301,123,CircleAtk,Increase Attack by {0},5,1200000000,3500000000,10000000000,30000000000,80000000000,600,850,1200,1700,2400,35,0,122,0
102,124,GameGoldGain,Increase Gold Gain by {0}%,5,15000000000,45000000000,140000000000,450000000000,1500000000000,18,25,35,50,72,36,1,123,0
306,125,CircleVampire,Increase Life Steal by {0}%,5,500000000,1800000000,6500000000,24000000000,100000000000,0.5,0.7,1,1.5,2.2,34,1,123,0
304,126,CircleCritical,Increase Crit Chance by {0}%,5,500000000,1800000000,6500000000,24000000000,100000000000,20,28,40,55,80,35,-1,123,0
104,127,GameMonsterLevel,Increase Monster Level by {0},1,2000000000,0,0,0,0,1,0,0,0,0,0,5,101,1
301,128,CircleAtk,Increase Attack by {0},5,350000000000,1100000000000,3500000000000,11000000000000,30000000000000,1500,2200,3200,4500,6500,0,10,127,0
102,129,GameGoldGain,Increase Gold Gain by {0}%,5,4500000000000,14000000000000,45000000000000,140000000000000,450000000000000,100,140,200,285,410,1,11,128,0
101,130,GamePlayTime,Increase Play Time by {0}s,5,25000000000000,75000000000000,220000000000000,650000000000000,2000000000000000,1500,2200,3200,4500,6500,-1,11,128,0
201,131,CenterHP,Increase Center HP by {0},5,5000000,15000000,45000000,140000000,500000000,1000,1400,2000,2850,4100,0,9,128,0
104,132,GameMonsterLevel,Increase Monster Level by {0},1,15000000000,0,0,0,0,1,0,0,0,0,0,15,127,1
301,133,CircleAtk,Increase Attack by {0},5,5000000000000,15000000000000,45000000000000,140000000000000,450000000000000,3000,4200,6000,8500,12000,0,20,132,0
102,134,GameGoldGain,Increase Gold Gain by {0}%,5,35000000000000,110000000000000,350000000000000,1100000000000000,3500000000000000,300,420,600,850,1250,1,21,133,0
302,135,CircleAtkDelay,Reduce Atk Delay by {0}s,5,15000000,45000000,140000000,450000000,1500000000,-0.05,-0.05,-0.1,-0.1,-0.15,-1,21,133,0
303,136,CircleRadius,Increase Atk Radius by {0},5,35000000,110000000,350000000,1100000000,3500000000,0.1,0.1,0.15,0.2,0.3,0,19,133,0
104,137,GameMonsterLevel,Increase Monster Level by {0},1,120000000000,0,0,0,0,1,0,0,0,0,0,-10,105,1
301,138,CircleAtk,Increase Attack by {0},5,10000000000000,30000000000000,90000000000000,280000000000000,900000000000000,5000,7000,10000,14000,20000,0,-15,137,0
102,139,GameGoldGain,Increase Gold Gain by {0}%,5,25000000000000,75000000000000,220000000000000,650000000000000,2000000000000000,500,750,1100,1650,2500,1,-16,138,0
202,140,CenterDefense,Increase Def by {0},5,50000000,150000000,450000000,1400000000,5000000000,50,70,100,140,200,-1,-16,138,0
101,141,GamePlayTime,Increase Play Time by {0}s,5,35000000000000,110000000000000,350000000000000,1100000000000000,3500000000000000,3000,4200,6000,8500,12000,0,-14,138,0
104,142,GameMonsterLevel,Increase Monster Level by {0},1,1000000000000,0,0,0,0,1,0,0,0,0,-5,0,101,1
301,143,CircleAtk,Increase Attack by {0},5,25000000000000,75000000000000,220000000000000,650000000000000,2000000000000000,8000,11000,15000,21000,30000,-10,0,142,0
102,144,GameGoldGain,Increase Gold Gain by {0}%,5,45000000000000,140000000000000,450000000000000,1400000000000000,4500000000000000,800,1100,1500,2100,3000,-11,1,143,0
304,145,CircleCritical,Increase Crit Chance by {0}%,5,15000000000,45000000000,140000000000,450000000000,1500000000000,15,22,32,45,65,-11,-1,143,0
305,146,CircleCriticalDam,Increase Crit Dmg by {0}x,5,2500000000,7500000000,22000000000,65000000000,200000000000,4,6,8,12,18,-9,0,143,0
104,147,GameMonsterLevel,Increase Monster Level by {0},1,8000000000000,0,0,0,0,1,0,0,0,0,-15,0,142,1
301,148,CircleAtk,Increase Attack by {0},5,65000000000000,200000000000000,600000000000000,1800000000000000,5000000000000000,15000,21000,30000,42000,60000,-20,0,147,0
102,149,GameGoldGain,Increase Gold Gain by {0}%,5,120000000000000,350000000000000,1000000000000000,3000000000000000,9000000000000000,1500,2200,3200,4500,6500,-21,1,148,0
306,150,CircleVampire,Increase Life Steal by {0}%,5,80000000000,220000000000,600000000000,1800000000000,5000000000000,2,3,4,6,9,-21,-1,148,0
201,151,CenterHP,Increase HP by {0},5,25000000000000,75000000000000,220000000000000,650000000000000,2000000000000000,2500,3400,4800,6800,10000,-19,0,148,0
104,152,GameMonsterLevel,Increase Monster Level by {0},1,50000000000000,0,0,0,0,1,0,0,0,0,-25,0,147,1
301,153,CircleAtk,Increase Attack by {0},5,250000000000000,750000000000000,2200000000000000,6500000000000000,20000000000000000,30000,42000,60000,85000,120000,-30,0,152,0
102,154,GameGoldGain,Increase Gold Gain by {0}%,5,250000000000000,750000000000000,2200000000000000,6500000000000000,20000000000000000,3000,4200,6000,8500,12000,-31,1,153,0
101,155,GamePlayTime,Increase Time by {0}s,5,150000000000000,450000000000000,1400000000000000,4500000000000000,14000000000000000,6000,8500,12000,17000,24000,-31,-1,153,0
302,156,CircleAtkDelay,Reduce Atk Delay by {0}s,5,500000000,1500000000,4500000000,14000000000,50000000000,-0.2,-0.25,-0.3,-0.35,-0.4,-29,0,153,0
104,157,GameMonsterLevel,Increase Monster Level by {0},1,300000000000000,0,0,0,0,1,0,0,0,0,0,25,132,1
301,158,CircleAtk,Increase Attack by {0},5,1200000000000000,3500000000000000,10000000000000000,30000000000000000,90000000000000000,60000,85000,120000,170000,240000,0,30,157,0
102,159,GameGoldGain,Increase Gold Gain by {0}%,5,1200000000000000,3500000000000000,10000000000000000,30000000000000000,90000000000000000,10000,14000,20000,28500,41000,1,31,158,0
303,160,CircleRadius,Increase Radius by {0},5,500000000,1500000000,4500000000,14000000000,50000000000,0.5,0.7,1,1.4,2,-1,31,158,0
305,161,CircleCriticalDam,Increase Crit Dmg by {0}x,5,150000000000,450000000000,1400000000000,4500000000000,15000000000000,10,14,20,28,40,0,29,158,0
104,162,GameMonsterLevel,Increase Monster Level by {0},1,2000000000000000,0,0,0,0,1,0,0,0,0,0,35,157,1
301,163,CircleAtk,Increase Attack by {0},5,5000000000000000,15000000000000000,45000000000000000,140000000000000000,450000000000000000,120000,170000,240000,330000,460000,0,40,162,0
102,164,GameGoldGain,Increase Gold Gain by {0}%,5,5000000000000000,15000000000000000,45000000000000000,140000000000000000,450000000000000000,25000,35000,50000,70000,100000,1,41,163,0
304,165,CircleCritical,Increase Crit Chance by {0}%,5,8000000000000,22000000000000,60000000000000,180000000000000,500000000000000,25,35,50,72,100,-1,41,163,0
101,166,GamePlayTime,Increase Play Time by {0}s,5,1500000000000000,4500000000000000,14000000000000000,45000000000000000,140000000000000000,12000,17000,24000,34000,48000,0,39,163,0
1001,167,SkillChainLightning,Unlock Skill,1,50000,0,0,0,0,0,0,0,0,0,1,1,101,1
1001,168,SkillChainLightning_Up,Dmg Mult {0}x,5,150000,450000,1400000,4500000,15000000,0.1,0.2,0.3,0.5,0.8,2,1,167,0
1002,169,SkillDeathBlast,Unlock Skill,1,1200,0,0,0,0,0,0,0,0,0,-1,1,101,1
1002,170,SkillDeathBlast_Up,Dmg Mult {0}x,5,8000,25000,80000,250000,900000,0.15,0.3,0.5,0.8,1.2,-2,1,169,0
1003,171,SkillFrozenNova,Unlock Skill,1,120000,0,0,0,0,0,0,0,0,0,1,2,107,1
1003,172,SkillFrozenNova_Up,Dmg Mult {0}x,5,450000,1200000,3500000,10000000,35000000,0.1,0.25,0.5,1,2,2,2,171,0
1004,173,SkillMeteor,Unlock Skill,1,8000000,0,0,0,0,0,0,0,0,0,-1,2,112,1
1004,174,SkillMeteor_Up,Dmg Mult {0}x,5,25000000,75000000,220000000,700000000,2500000000,0.5,1,2,4,8,-2,2,173,0
305,175,CircleCriticalDam,Increase Crit Dmg by {0}x,5,5000,18000,65000,240000,1000000,0.2,0.3,0.4,0.6,0.8,2,0,104,0
306,176,CircleVampire,Increase Life Steal by {0}%,5,12000,35000,100000,300000,850000,0.5,0.7,1,1.5,2.2,-2,0,103,0
302,177,CircleAtkDelay,Reduce Atk Delay by {0}s,5,150000,450000,1400000,4500000,15000000,-0.05,-0.05,-0.05,-0.1,-0.1,0,-1,101,0
303,178,CircleRadius,Increase Radius by {0},5,250000,700000,2000000,5500000,15000000,0.2,0.3,0.4,0.6,0.8,4,0,108,0
202,179,CenterDefense,Increase Defense by {0},5,50000000,150000000,450000000,1400000000,5000000000,50,70,100,140,200,6,1,109,0
306,180,CircleVampire,Increase Life Steal by {0}%,5,80000000,220000000,600000000,1800000000,5000000000,1,1.4,2,2.8,4,16,-1,114,0
202,181,CenterDefense,Increase Def by {0},5,1200000000,3500000000,10000000000,30000000000,85000000000,100,140,200,280,400,26,-1,119,0
304,182,CircleCritical,Increase Crit Chance by {0}%,5,4500000000,12000000000,35000000000,100000000000,300000000000,10,14,20,28,40,-31,0,153,0
201,183,CenterHP,Increase HP by {0},5,50000000000,150000000000,450000000000,1400000000000,4500000000000,3000,4200,6000,8500,12000,0,41,163,0
